Detector_type, Descriptor_type, ImgNumber, TTC_Lidar, TTC_Camera
AKAZE, BRIEF, 0000, 
AKAZE, BRIEF, 0001, 12.2891, 12.101
AKAZE, BRIEF, 0002, 13.3547, 13.519
AKAZE, BRIEF, 0003, 16.3845, 12.0061
AKAZE, BRIEF, 0004, 14.0764, 13.3839
AKAZE, BRIEF, 0005, 12.7299, 14.0406
AKAZE, BRIEF, 0006, 13.7511, 12.4618
AKAZE, BRIEF, 0007, 13.7314, 15.4674
AKAZE, BRIEF, 0008, 13.7901, 14.6608
AKAZE, BRIEF, 0009, 12.059, 12.5431
AKAZE, BRIEF, 0010, 11.8642, 11.9802
AKAZE, BRIEF, 0011, 11.9682, 12.9386
AKAZE, BRIEF, 0012, 9.88711, 11.1953
AKAZE, BRIEF, 0013, 9.42504, 10.9342
AKAZE, BRIEF, 0014, 9.30215, 10.8077
AKAZE, BRIEF, 0015, 8.3212, 9.53519
AKAZE, BRIEF, 0016, 8.89867, 9.53052
AKAZE, BRIEF, 0017, 11.0301, 8.80347
AKAZE, BRIEF, 0018, 8.53557, 8.49658

AKAZE, ORB, 0000, 
AKAZE, ORB, 0001, 12.2891, 11.6102
AKAZE, ORB, 0002, 13.3547, 13.5195
AKAZE, ORB, 0003, 16.3845, 12.745
AKAZE, ORB, 0004, 14.0764, 14.3365
AKAZE, ORB, 0005, 12.7299, 13.6303
AKAZE, ORB, 0006, 13.7511, 13.6516
AKAZE, ORB, 0007, 13.7314, 15.3947
AKAZE, ORB, 0008, 13.7901, 13.8281
AKAZE, ORB, 0009, 12.059, 12.7144
AKAZE, ORB, 0010, 11.8642, 11.7826
AKAZE, ORB, 0011, 11.9682, 12.3501
AKAZE, ORB, 0012, 9.88711, 10.6091
AKAZE, ORB, 0013, 9.42504, 10.9959
AKAZE, ORB, 0014, 9.30215, 9.77147
AKAZE, ORB, 0015, 8.3212, 10.1374
AKAZE, ORB, 0016, 8.89867, 9.78989
AKAZE, ORB, 0017, 11.0301, 9.21472
AKAZE, ORB, 0018, 8.53557, 9.07435

AKAZE, FREAK, 0000, 
AKAZE, FREAK, 0001, 12.2891, 11.5026
AKAZE, FREAK, 0002, 13.3547, 12.7074
AKAZE, FREAK, 0003, 16.3845, 12.827
AKAZE, FREAK, 0004, 14.0764, 13.9335
AKAZE, FREAK, 0005, 12.7299, 14.0043
AKAZE, FREAK, 0006, 13.7511, 14.025
AKAZE, FREAK, 0007, 13.7314, 15.3221
AKAZE, FREAK, 0008, 13.7901, 13.1172
AKAZE, FREAK, 0009, 12.059, 11.5627
AKAZE, FREAK, 0010, 11.8642, 11.7715
AKAZE, FREAK, 0011, 11.9682, 11.516
AKAZE, FREAK, 0012, 9.88711, 10.5463
AKAZE, FREAK, 0013, 9.42504, 10.1861
AKAZE, FREAK, 0014, 9.30215, 10.0381
AKAZE, FREAK, 0015, 8.3212, 9.38574
AKAZE, FREAK, 0016, 8.89867, 9.97651
AKAZE, FREAK, 0017, 11.0301, 8.46005
AKAZE, FREAK, 0018, 8.53557, 8.73027

